Cycle,BIC,AIC,AUC,psAUC,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold.1,Type I.1,Type II.1,Policy Loss Function.1,c.Threshold.2,Type I.2,Type II.2,Policy Loss Function.2
c.hp25k20,-57.37782927,-63.76057637,0.628900951,0.580580192,1.290039183,0.495311373,0.316037736,0.345213207,1.290039183,0.495311373,0.316037736,0.405674554,-10.08611696,0.922577543,0.009433962,0.283377036,1.363338358,0.491223852,0.325471698,0.441498206
c.quad20,-8.663420619,-15.04616771,0.599819895,0.579549239,0.622386364,0.515268093,0.330188679,0.374525772,-1.809070535,0.636691512,0.174528302,0.405609907,-4.516607949,0.744409714,0.08490566,0.282756876,0.622386364,0.515268093,0.330188679,0.459744269
c.bn7,-160.3838861,-166.7666332,0.653491859,0.578912293,0.158722641,0.500360664,0.325471698,0.35629262,0.06116141,0.525366675,0.287735849,0.406551262,-1.471642222,0.815340226,0.051886792,0.280922823,0.171581403,0.497956239,0.330188679,0.447625971
c.bn3,-132.9768665,-139.3596136,0.641478812,0.578861256,0.069061617,0.533301274,0.325471698,0.390342075,-0.120882076,0.636210628,0.198113208,0.417161918,-1.564083626,0.889156047,0.009433962,0.273350588,0.069061617,0.533301274,0.325471698,0.470952401
c.hamilton13t20,-12.7828832,-19.1656303,0.578414849,0.578803413,0.171409298,0.566963212,0.330188679,0.430471848,-3.583380889,0.709305121,0.108490566,0.408897844,-7.761164463,0.826400577,0.033018868,0.271033381,0.171409298,0.566963212,0.330188679,0.495930852
c.hp25k1,-56.03879587,-62.42154297,0.627367564,0.57821002,1.283873648,0.49699447,0.316037736,0.346883354,1.283873648,0.49699447,0.316037736,0.406516103,-10.18579942,0.923779755,0.009433962,0.2837377,1.42727363,0.490742967,0.330188679,0.442576681
c.hamilton13t1,-23.76884385,-30.15159095,0.607542406,0.578151497,1.693847797,0.500601106,0.316037736,0.350481318,1.693847797,0.500601106,0.316037736,0.408319421,-9.911503048,0.88242366,0.023584906,0.281236532,1.831979694,0.495070931,0.325471698,0.444191161
c.quad2,-85.16401006,-91.54675715,0.662194287,0.577406352,0.276463155,0.516229863,0.316037736,0.366373122,-1.487985489,0.596297187,0.231132075,0.413714631,-13.65921815,0.88146189,0.014150943,0.274344227,0.391937947,0.510699687,0.325471698,0.455131291
c.bn720,-154.9510065,-161.3337536,0.655019576,0.576645556,0.290276939,0.478239962,0.330188679,0.337738025,0.290276939,0.478239962,0.330188679,0.40421432,-2.06027938,0.847799952,0.037735849,0.28075508,0.290276939,0.478239962,0.330188679,0.433824577
c.hamilton28t1,-65.74553576,-72.12828286,0.647841462,0.573678587,2.947233868,0.472228901,0.330188679,0.332024699,2.720050597,0.479682616,0.320754717,0.400218666,-26.86913923,0.941812936,0.004716981,0.285845768,2.947233868,0.472228901,0.330188679,0.429616835
c.hamilton24t1,-43.17917614,-49.56192323,0.630560231,0.570607503,1.949805618,0.501562876,0.330188679,0.360589882,1.324740325,0.525366675,0.301886792,0.413626734,-28.47910738,0.95816302,0,0.287448906,1.949805618,0.501562876,0.330188679,0.450150617
c.bn8,-128.9732664,-135.3560135,0.665777105,0.57057688,0.556295775,0.483529695,0.330188679,0.342825529,0.556295775,0.483529695,0.330188679,0.406859187,-1.69647403,0.821832171,0.051886792,0.282870406,0.556295775,0.483529695,0.330188679,0.43752739
c.poly4,7.483962587,1.101215492,0.565647584,0.570241395,-0.250309835,0.545563837,0.297169811,0.385949798,-0.960851246,0.597258956,0.240566038,0.418912497,-5.772917707,0.826641019,0.051886792,0.284313061,-0.015773005,0.529454196,0.330188679,0.469674541
c.bn820,-86.77789558,-93.16064268,0.65179742,0.568727288,0.451174388,0.491464294,0.330188679,0.350561716,0.423518688,0.495070931,0.325471698,0.410271314,-1.499744676,0.800913681,0.070754717,0.289802406,0.451174388,0.491464294,0.330188679,0.44308161
c.poly415,3.936651059,-2.446096036,0.56752122,0.567036933,-0.068768729,0.517672517,0.316037736,0.367864686,-0.237216861,0.536427026,0.297169811,0.416798419,-4.999747158,0.896850204,0.014150943,0.278960722,-0.068768729,0.517672517,0.316037736,0.457182083
c.bn715,-122.8232367,-129.2059838,0.62967445,0.565969913,0.179961898,0.508295263,0.330188679,0.367388639,0.179961898,0.508295263,0.330188679,0.419241971,-2.44119537,0.863909594,0.037735849,0.285587972,0.179961898,0.508295263,0.330188679,0.454863288
c.poly5,5.880947648,-0.501799447,0.528095469,0.563252006,-1.250918874,0.583313296,0.316037736,0.440134252,-5.368616017,0.786006252,0.075471698,0.430738975,-10.43607839,0.899975956,0.004716981,0.273294674,-1.223656831,0.580908872,0.320754717,0.502862626
c.poly615,3.406267527,-2.976479568,0.58382934,0.562208804,0.089943821,0.516229863,0.311320755,0.363413884,0.089943821,0.516229863,0.311320755,0.413775309,4.092709359,0.932676124,0.018867925,0.293010384,0.071760541,0.511661457,0.320754717,0.454389435
c.poly3,5.509898928,-0.872848167,0.555106679,0.559718183,-0.536685558,0.585958163,0.268867925,0.41563693,-0.639556646,0.590045684,0.264150943,0.427098314,-17.42065032,0.96417408,0,0.289252224,-0.536685558,0.585958163,0.268867925,0.490831091
c.hamilton20t20,-15.69702431,-22.0797714,0.585555535,0.55794889,-0.823931591,0.612166386,0.320754717,0.477631273,-5.973179266,0.758595816,0.103773585,0.431184701,-17.42037196,0.926184179,0.009433962,0.284459027,-0.823931591,0.612166386,0.320754717,0.524742885
c.hp3k1,-24.55464899,-30.93739609,0.597898624,0.55718265,-0.047161555,0.570569849,0.325471698,0.431481778,-0.821954435,0.646309209,0.235849057,0.441079133,-5.990667497,0.92329887,0,0.276989661,-0.047161555,0.570569849,0.325471698,0.497040403
c.hp3k20,-24.52520809,-30.90795518,0.597819233,0.557064924,-0.042014208,0.570088964,0.325471698,0.430933253,-0.821954435,0.646068767,0.235849057,0.440958912,-5.992297681,0.92329887,0,0.276989661,-0.042014208,0.570088964,0.325471698,0.496703784
c.hp3k15,-24.56642028,-30.94916738,0.597770464,0.556746451,-0.04155973,0.569608079,0.325471698,0.43038519,-0.983772649,0.660735754,0.221698113,0.441216933,-5.989346164,0.92329887,0,0.276989661,-0.04155973,0.569608079,0.325471698,0.496367165
c.hp1,-19.06588997,-25.44863707,0.596869939,0.55437764,-0.021831659,0.561673479,0.320754717,0.418360686,-0.135709534,0.575378697,0.306603774,0.440991235,-4.651584466,0.905987016,0.004716981,0.275097992,-0.021831659,0.561673479,0.320754717,0.489397851
c.hp15,-19.08811757,-25.47086467,0.596960672,0.554372876,-0.013861137,0.561433037,0.320754717,0.418090643,-0.128511976,0.574897812,0.306603774,0.440750793,-4.656941337,0.906467901,0.004716981,0.275242257,-0.013861137,0.561433037,0.320754717,0.489229541
c.hp20,-19.05868857,-25.44143566,0.596838182,0.554332727,-0.018841137,0.561673479,0.320754717,0.418360686,-0.13647479,0.575378697,0.306603774,0.440991235,-4.652908315,0.905987016,0.004716981,0.275097992,-0.018841137,0.561673479,0.320754717,0.489397851
c.quad15,3.958685033,-2.424062062,0.536594882,0.553159549,-1.492427287,0.62346718,0.273584906,0.463560025,-3.544643046,0.729502284,0.160377358,0.444939821,-9.867704918,0.920413561,0,0.276124068,-1.492427287,0.62346718,0.273584906,0.518502497
c.hamilton20t15,-8.140804573,-14.52355167,0.569369905,0.550338207,-0.486116349,0.613609041,0.325471698,0.482447881,-3.946802044,0.748497235,0.122641509,0.435569372,-15.8038333,0.955277711,0.004716981,0.2898852,-0.437282283,0.611445059,0.330188679,0.527068145
c.poly320,8.332994868,1.950247773,0.491038983,0.547344019,-3.157068926,0.706660255,0.202830189,0.540508801,-5.284644159,0.800432796,0.061320755,0.430876776,-6.179076088,0.836739601,0.037735849,0.277436975,-3.157068926,0.706660255,0.202830189,0.555511235
c.hamilton24t20,-16.7597034,-23.1424505,0.593357438,0.537484972,0.005499035,0.577783121,0.320754717,0.436716923,-2.182889953,0.652801154,0.212264151,0.432532653,-29.44053829,0.980283722,0,0.294085117,0.005499035,0.577783121,0.320754717,0.5006746
c.hamilton28t20,-11.74680585,-18.12955294,0.58403349,0.534785439,0.0468408,0.587400818,0.330188679,0.454064284,-2.46444979,0.678768935,0.193396226,0.436082581,-32.05073175,0.986294782,0,0.295888435,0.0468408,0.587400818,0.330188679,0.510237176
c.poly620,7.698832191,1.316085096,0.516582587,0.528735817,0.643244265,0.605193556,0.320754717,0.469142829,0.763617391,0.622745852,0.297169811,0.459957832,5.670731419,0.94517913,0.004716981,0.286855626,0.643244265,0.605193556,0.320754717,0.519861904
c.hamilton24t15,-4.700459607,-11.0832067,0.553558548,0.525872284,-0.666159411,0.643664342,0.320754717,0.517187374,-2.315233609,0.721808127,0.198113208,0.459960667,-19.60184686,0.984611686,0,0.295383506,-0.628890223,0.641500361,0.325471698,0.546691762
c.poly6,8.160905376,1.778158281,0.512297722,0.522835224,1.635273133,0.672757874,0.330188679,0.561627722,4.337738199,0.82471748,0.094339623,0.459528551,18.0148143,0.985573455,0,0.295672037,1.635273133,0.672757874,0.330188679,0.569987116
c.poly515,8.286747651,1.904000556,0.50332423,0.5135267,0.742974566,0.639095937,0.316037736,0.508323467,1.136782685,0.689588843,0.259433962,0.474511403,5.536099744,0.947343111,0.014150943,0.294108594,0.742974566,0.639095937,0.316037736,0.542178476
c.hamilton28t15,0.712723888,-5.670023207,0.532286199,NA,-0.55754152,0.677085838,0.320754717,0.56132882,-1.703024761,0.731185381,0.254716981,0.492951181,-21.73226692,0.994229382,0,0.298268815,-0.55754152,0.677085838,0.320754717,0.570186502
c.bn815,7.931865202,1.549118107,0.379215114,NA,4.502803109,0.822553498,0.330188679,0.785618822,1052.520649,0.999759558,0,0.499879779,1052.520649,0.999759558,0,0.299927867,4.502803109,0.822553498,0.330188679,0.674844053
