1,Crisis horizon:5-12 quarters,,,,Type II<=1/3,Loss func: Closest to Top Left : min(1*T1^2+1*T2^2),,,,Loss function: min(0.5*T1+0.5*T2)  (alpha=0.5) ,,,,(alpha=0.3),,,,(alpha=0.7),,,
2,Cycles,BIC,AIC,AUC,psAUC,c.Threshold.3,Type I.3,Type II.3,Policy Loss Function.3,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold.1,Type I.1,Type II.1,Policy Loss Function.1,c.Threshold.2,Type I.2,Type II.2,Policy Loss Function.2
71,c.hamilton20t15,-8.140804573,-14.52355167,0.569369905,0.531851134,5.300731589,0.627358491,0.31473912,0.492639389,11.55940849,0.787735849,0.138735273,0.463235561,23.95956372,0.933962264,0.021399375,0.295168242,5.300731589,0.627358491,0.31473912,0.533572679
72,c.quad20,-8.663420619,-15.04616771,0.599819895,0.521802229,4.140808491,0.528301887,0.331329647,0.388882218,4.140808491,0.528301887,0.331329647,0.429815767,-1.809070535,1,0,0.3,4.140808491,0.528301887,0.331329647,0.469210215
73,c.hamilton13t20,-12.7828832,-19.1656303,0.578414849,0.516547428,5.805307503,0.58490566,0.328925222,0.450306433,5.805307503,0.58490566,0.328925222,0.456915441,27.64803872,0.938679245,0.016590527,0.293217142,5.805307503,0.58490566,0.328925222,0.508111529
74,c.poly615,3.406267527,-2.976479568,0.58382934,0.514588276,-0.803880739,0.523584906,0.332531859,0.38471859,-0.803880739,0.523584906,0.332531859,0.428058382,-1.262960371,1,0,0.3,-0.803880739,0.523584906,0.332531859,0.466268992
75,c.hamilton13t15,-9.12983509,-15.51258219,0.564802633,0.502082095,4.884791956,0.650943396,0.332531859,0.534304742,22.98955255,0.929245283,0.016590527,0.472917905,24.29374453,0.938679245,0.011300793,0.289514329,4.884791956,0.650943396,0.332531859,0.555419935
76,c.poly3,5.509898928,-0.872848167,0.555106679,NA,4.162392433,0.594339623,0.318345756,0.454583608,4.162392433,0.594339623,0.318345756,0.456342689,-3.00194798,1,0,0.3,3.961720043,0.589622642,0.327242126,0.510908487
77,c.poly4,7.483962587,1.101215492,0.565647584,NA,3.049006926,0.608490566,0.332291416,0.480678354,3.049006926,0.608490566,0.332291416,0.470390991,-0.250309835,1,0,0.3,3.049006926,0.608490566,0.332291416,0.525630821
78,c.poly5,5.880947648,-0.501799447,0.528095469,NA,1.868524305,0.731132075,0.333253186,0.645611798,0.090411904,1,0,0.5,0.090411904,1,0,0.3,1.868524305,0.731132075,0.333253186,0.611768409
79,c.poly6,8.160905376,1.778158281,0.512297722,NA,-2.090963837,0.660377358,0.329886992,0.544923683,-3.427993359,0.735849057,0.250781438,0.493315247,-0.981539057,1,0,0.3,-2.090963837,0.660377358,0.329886992,0.561230249
80,c.quad15,3.958685033,-2.424062062,0.536594882,NA,2.584725013,0.641509434,0.330127434,0.520518477,2.584725013,0.641509434,0.330127434,0.485818434,-2.056271814,1,0,0.3,2.584725013,0.641509434,0.330127434,0.548094834
81,c.poly315,3.747512559,-2.635234536,0.566636574,NA,1.986755979,0.632075472,0.32964655,0.50818625,2.05237088,0.636792453,0.323875932,0.480334192,17.54057818,0.985849057,0.005770618,0.29979415,1.986755979,0.632075472,0.32964655,0.541346795
82,c.poly415,3.936651059,-2.446096036,0.56752122,NA,1.513531384,0.608490566,0.331810531,0.480358998,1.513531384,0.608490566,0.331810531,0.470150549,-0.333602334,1,0,0.3,1.513531384,0.608490566,0.331810531,0.525486556
83,c.poly515,8.286747651,1.904000556,0.50332423,NA,-1.149935575,0.698113208,0.32868478,0.595395735,-13.5041907,0.990566038,0.00601106,0.498288549,0.224435077,1,0,0.3,-1.149935575,0.698113208,0.32868478,0.587284679
84,c.bn815,7.931865202,1.549118107,0.379215114,NA,-0.459609898,0.773584906,0.316422217,0.698556626,-175.772847,0.971698113,0.001923539,0.486810826,-175.772847,0.971698113,0.001923539,0.292855911,-0.459609898,0.773584906,0.316422217,0.636436099
85,c.poly320,8.332994868,1.950247773,0.491038983,NA,2.485999554,0.75,0.317624429,0.663385278,18.17790865,0.981132075,0.01490743,0.498019753,-3.00194798,1,0,0.3,2.485999554,0.75,0.317624429,0.620287329
86,c.poly420,3.573775997,-2.808971097,0.577210369,NA,2.151219237,0.636792453,0.32772301,0.512906999,2.151219237,0.636792453,0.32772301,0.482257732,-0.250309835,1,0,0.3,2.151219237,0.636792453,0.32772301,0.54407162
87,c.poly520,2.601237763,-3.781509332,0.567475854,NA,1.764848876,0.650943396,0.326039913,0.53002933,2.571623733,0.712264151,0.257513825,0.484888988,0.090411904,1,0,0.3,1.764848876,0.650943396,0.326039913,0.553472351
88,c.poly620,7.698832191,1.316085096,0.516582587,NA,-1.265419482,0.679245283,0.32964655,0.570041002,-13.9437796,0.990566038,0.005049291,0.497807664,-0.981539057,1,0,0.3,-1.265419482,0.679245283,0.32964655,0.574365663
