"ID","date","c.hamilton13_panelr20","c.hamilton20_panelr20","c.hamilton24_panelr20","c.hamilton28_panelr20"
"KR",1987-10-01,-5.79245321264217,-8.04768714453797,-1.89557089966181,0.31752840186566
"KR",1988-01-01,-10.4725994492041,-10.5290300168391,-6.11783458303299,-4.01663360010629
"KR",1988-04-01,-11.6073312278325,-9.4041208827467,-3.48569319510466,-3.35924997690539
"KR",1988-07-01,-16.0058857659633,-10.2077188546697,-8.1311655344196,-5.49468991304772
"KR",1988-10-01,-19.2333505164527,-12.6845175001504,-14.0431635666652,-8.36434980741457
"KR",1989-01-01,-12.2753942280195,-10.2180445429165,-9.8006217047254,-6.44748857725138
"KR",1989-04-01,-4.04842602278027,-5.20646491243357,-5.17093485236337,-0.925323320304539
"KR",1989-07-01,-3.97643664428693,-2.22506208167206,-2.61167119007502,0.558153806137016
"KR",1989-10-01,-0.669539186553631,-2.38356110584043,-2.83360130594711,-2.82706363304167
"KR",1990-01-01,0.785407173818793,-4.71065122879834,-3.44633882617022,-4.70502797581769
"KR",1990-04-01,3.96266863484612,-5.52725693978811,-1.94510490816032,-4.04811851583572
"KR",1990-07-01,4.76877925877912,-7.034424756865,-1.99753189624623,-3.00813374420149
"KR",1990-10-01,9.86459627035485,1.16787540624143,2.27122218145467,2.21959890437382
"KR",1991-01-01,15.5823462356181,6.13747692142134,3.43950200002592,5.48584827363176
"KR",1991-04-01,20.5238441427535,3.28586488655783,1.35129414090659,4.79209909316334
"KR",1991-07-01,17.9586674675799,7.8076735555037,1.70222844108918,6.287446729605
"KR",1991-10-01,18.8860489840334,8.3927657702545,4.09061882157976,5.25673084618964
"KR",1992-01-01,22.1125970846802,10.4092271694526,5.58648293270104,3.81920103450808
"KR",1992-04-01,16.910786720529,11.1208786052745,2.8766430470556,1.50517740626242
"KR",1992-07-01,9.79633236574727,12.6875314805884,6.77884433047402,0.902512549530721
"KR",1992-10-01,8.25194262229701,16.2875108341888,9.1338007738788,4.09858862743072
"KR",1993-01-01,10.4539056278999,21.683502970623,11.4966762184321,6.6086354154237
"KR",1993-04-01,13.3737047153831,19.2423451879964,13.7535947317299,6.85871483826352
"KR",1993-07-01,14.8102715530498,24.1262113649738,16.9780214989146,11.7007203546886
"KR",1993-10-01,13.2178054684432,24.4908199322123,17.3707415687302,10.4829702609207
"KR",1994-01-01,6.68341645864708,20.4426749708817,21.8379344833791,12.6755971065152
"KR",1994-04-01,3.78222663207719,15.1796893198037,19.7327704475129,14.7764087904155
"KR",1994-07-01,8.38308491565767,15.6076318008162,24.1888067775977,17.9166791926742
"KR",1994-10-01,6.2551807386507,14.8574167490155,25.4217545759753,18.5509567483593
"KR",1995-01-01,7.87667232241559,15.8745024528622,21.3724515433332,22.0857916820688
"KR",1995-04-01,8.30531423992818,15.0104467879345,16.3805967661756,20.5552898069685
"KR",1995-07-01,8.47280182672453,15.2161894201893,14.7335468237138,22.1317874327118
"KR",1995-10-01,6.04337285263752,8.32687066619615,14.5386430654693,22.8799716017521
"KR",1996-01-01,5.51878027846397,6.16693982028195,15.6987320743068,21.0700347930412
"KR",1996-04-01,6.70701912824284,9.93738378689284,16.2694981690216,18.6891169771858
"KR",1996-07-01,9.41845283268486,12.4683487636387,20.4337968513219,20.3870295464063
"KR",1996-10-01,6.1221575804653,13.9711381907622,15.007101041924,20.2426698225551
"KR",1997-01-01,14.6559988686719,18.101216776623,16.5263370145049,24.808400586899
"KR",1997-04-01,14.9697600955481,18.5480302184839,18.3258670626377,23.6719515609604
"KR",1997-07-01,14.0044088642,17.7040976744594,17.5842645849772,24.6860869517699
"KR",1997-10-01,15.9793553012459,22.6932829468742,24.5973706790696,25.9006398246699
"KR",1998-01-01,16.5210745728875,19.5557041453,21.9614775250516,21.1792428140645
"KR",1998-04-01,15.8178390994922,17.2586732436288,20.7931007929604,21.0128381182368
"KR",1998-07-01,18.3044183884094,17.422421290885,22.5670781722921,22.3605873739344
"KR",1998-10-01,14.3383072567303,16.9783407703526,17.4734207776476,18.9965852309544
"KR",1999-01-01,20.2663325354459,21.2574470062289,21.7274620466073,23.4413485148951
"KR",1999-04-01,10.0764233697364,11.1916811263269,12.0281085008205,14.9324738583116
"KR",1999-07-01,2.52869176434209,3.72380809202021,5.10244557817337,9.6277305667081
"KR",1999-10-01,-11.6697136594354,-2.69039640299851,-0.674139404269879,-0.138926934577141
"KR",2000-01-01,-10.6800622767221,-3.35334536457935,-1.64777847409266,-1.2542043759023
"KR",2000-04-01,-18.8816078092552,-7.32131383170563,-6.41599958036223,-5.62723209754532
"KR",2000-07-01,-17.3635048110381,-7.09298939069929,-9.18653161949069,-8.11381320414919
"KR",2000-10-01,-19.3047414439186,-8.99114933994096,-9.82658726479662,-7.76459733641078
"KR",2001-01-01,-24.4736177965196,-9.18650581700653,-8.9470974003078,-8.00202703187766
"KR",2001-04-01,-20.3348851215308,-11.4786310972251,-9.74705009511054,-9.32116265380816
"KR",2001-07-01,-15.6142246383084,-12.6247393315012,-7.24170630540693,-9.02355743072222
"KR",2001-10-01,-20.0988572500931,-12.3170950264431,-7.80036942165401,-8.34226714689383
"KR",2002-01-01,-11.9731242599335,-13.4342183385792,-5.77899158209224,-5.81600058253922
"KR",2002-04-01,-16.324325460898,-9.7579509462755,-4.96362128974891,-3.78212424941442
"KR",2002-07-01,-2.36819112658055,-7.91872970555652,-5.78176450675004,-1.82389855727189
"KR",2002-10-01,1.54158506584988,-12.7527627458884,-4.50933722875388,-1.05959916581474
"KR",2003-01-01,12.1995669867943,-8.38803272402528,-7.39120692668846,-1.37823569007346
"KR",2003-04-01,6.86796789140625,-8.00596497382524,-7.39684853031755,-3.28204817253751
"KR",2003-07-01,8.06643117000504,-11.490043148129,-7.73367070091936,-5.77362918873204
"KR",2003-10-01,3.44047013714934,-8.02330639801265,-12.5661344583097,-6.18902097150594
"KR",2004-01-01,4.39438516196411,-15.4167240834127,-11.3140964359,-10.4805141972673
"KR",2004-04-01,-0.982568963957551,-7.0104100435237,-12.50084195747,-11.7162112340385
"KR",2004-07-01,-1.93398224855372,-5.79781761141419,-15.4889703410276,-12.7641385492629
"KR",2004-10-01,-8.26955558100624,0.509899180031718,-14.3546205949208,-18.0618760289893
"KR",2005-01-01,-6.25237112384696,-3.98904120643046,-19.1705399102146,-15.4646338721531
"KR",2005-04-01,-8.4025213154669,-0.0737635865807866,-8.14956260670431,-13.1311277467826
"KR",2005-07-01,-9.78419983253257,-3.11387183009888,-5.49635503462734,-14.4506702532129
"KR",2005-10-01,-10.5657171895335,0.490188600016644,4.33982913197599,-9.36603149507605
"KR",2006-01-01,-8.3049468927776,-1.45371888061518,1.59570833458166,-13.6206618063906
