"ID","date","c.hamilton13_panel","c.hamilton20_panel","c.hamilton24_panel","c.hamilton28_panel"
"CH",1992-10-01,-7.70995824995304,9.23246967694297,14.1722884024773,16.7428509175882
"CH",1993-01-01,-7.30219362276053,5.43959197262906,13.5653146322292,18.387126469154
"CH",1993-04-01,-7.38712768124714,1.84250478232049,9.23447720890982,15.5115758677242
"CH",1993-07-01,-10.478039704204,-1.54213929962603,7.14925277743677,12.5015145801028
"CH",1993-10-01,-12.1652982430267,-6.96878709581818,2.53055256473176,7.02030891794829
"CH",1994-01-01,-10.0218294032534,-12.273000552211,-2.36603728822168,5.47894035922894
"CH",1994-04-01,-8.72022573218968,-15.9459052201259,-5.37071629413261,1.84203620600351
"CH",1994-07-01,-11.0115434497268,-14.0335661511613,-6.52959641248657,1.72074413701023
"CH",1994-10-01,-9.5226237665832,-15.6182978363464,-8.41703543236295,0.124552083761166
"CH",1995-01-01,-7.62984879489304,-15.1088611984751,-12.7469194185868,-3.17451295331018
"CH",1995-04-01,-6.99385397686394,-15.5890414210207,-15.9802925120465,-5.69247252464269
"CH",1995-07-01,-8.35105488877921,-14.1437065203696,-14.7587424432631,-7.8715588593296
"CH",1995-10-01,-6.25607496239814,-10.2513825230473,-14.2172836705821,-7.64191532914116
"CH",1996-01-01,-3.96609204504432,-7.11620820362545,-12.3899331033077,-9.59135551676697
"CH",1996-04-01,-5.0568577962418,-8.64062742480469,-12.7959984829643,-12.6743131795261
"CH",1996-07-01,-5.67960079564152,-7.46575787238254,-11.798648034579,-12.5922680474573
"CH",1996-10-01,-1.20420330073308,-5.60540113309109,-9.05862259134976,-13.2252607445374
"CH",1997-01-01,6.24212392018288,-3.950198445604,-6.79038375685204,-11.8029669684933
"CH",1997-04-01,5.29243540499792,-4.64534797581022,-8.63732556763863,-12.8786543935279
"CH",1997-07-01,1.26719252822387,-6.57962086971041,-8.98586595628394,-13.493938736665
"CH",1997-10-01,-0.577797615408978,-7.81432320672206,-9.2795860622373,-13.297214128846
"CH",1998-01-01,-0.947087525734409,-10.1360522402548,-10.3105047673245,-13.5907562409412
"CH",1998-04-01,-2.02403448053553,-10.1642581552509,-11.0991804905936,-15.5129139903435
"CH",1998-07-01,-5.26019284142425,-9.51332692227016,-13.3101531855907,-16.0708905478004
"CH",1998-10-01,-4.75212818034892,-5.11901397007442,-13.9515681646465,-16.1072432894541
"CH",1999-01-01,-3.37897425181893,-1.66290123671199,-10.7217926244898,-11.5831601896663
"CH",1999-04-01,-3.80337364565524,0.248382020976421,-7.38589840622704,-8.76170155396825
"CH",1999-07-01,-1.66678086827603,1.64692538020491,-2.75206814637049,-6.64466066146093
"CH",1999-10-01,-0.746607066244721,0.580459109021636,0.494530090376659,-8.04222238649333
"CH",2000-01-01,-0.556728701621653,1.1812726052119,1.02456937143502,-7.70791018057153
"CH",2000-04-01,-9.21576212408973,-5.52492559189838,-6.06544510759225,-13.4439807328017
"CH",2000-07-01,-10.4550761536322,-6.34919244874875,-8.14865261604598,-12.765202402465
"CH",2000-10-01,-8.20708675091112,-10.5764821265873,-9.20654748683808,-9.93542639875463
"CH",2001-01-01,-5.30592940818097,-11.5726586364297,-8.36810414554599,-9.49798656937945
"CH",2001-04-01,-4.95361965875767,-11.1196040077873,-9.02842834091207,-10.042548681164
"CH",2001-07-01,-8.14963958966803,-12.3734094528437,-10.8884591643009,-12.734473101463
"CH",2001-10-01,-7.00352819259325,-15.8777989974146,-15.2825160909435,-14.3511010306362
"CH",2002-01-01,-6.51814825771823,-17.6775872734265,-17.3928945745738,-14.7458396179169
"CH",2002-04-01,-12.6713914864348,-15.7287850182025,-15.787156083239,-14.0469522137138
"CH",2002-07-01,-17.1631482039526,-13.6517830137291,-15.3758285675812,-14.0950089729345
"CH",2002-10-01,-16.8452404615478,-11.7275363286128,-15.5233277633047,-14.8920656600177
"CH",2003-01-01,-10.9534291085741,-9.27124405741435,-15.297746485536,-14.8111491317147
"CH",2003-04-01,-9.61192733756562,-6.09639651450712,-11.2606988360406,-11.5520695454449
"CH",2003-07-01,0.906113822733851,-2.49862748311011,-8.1218569906077,-9.96333499536019
"CH",2003-10-01,4.45429928396354,-0.127937136120896,-5.31697836760218,-8.72050116227595
"CH",2004-01-01,5.95554352244523,-5.46960775889026,-3.91364881947831,-9.19483278026326
"CH",2004-04-01,1.17901542365542,-8.45665939548841,-4.26836232041558,-9.19994407549711
"CH",2004-07-01,1.15430480562473,-9.20357106711868,-1.42538424599503,-7.12708620935706
"CH",2004-10-01,4.28946578130508,-7.34837014881876,-2.38950056573424,-7.67514339150585
"CH",2005-01-01,9.74740986798956,-6.79297291273484,-5.26992492011247,-3.81142885513642
"CH",2005-04-01,9.0404170427124,3.58959810704137,-7.14279671319259,-2.91593355935196
"CH",2005-07-01,6.73124324894654,4.54061197627164,-7.8030160596445,-0.0665595300982176
"CH",2005-10-01,5.3570293017137,2.9856753148682,-7.18918035795244,-2.24989801540705
"CH",2006-01-01,3.05838419523928,-1.40296593288434,-9.43575201888407,-8.10968150542128
"CH",2006-04-01,-1.59890184340257,-3.27360540771869,-2.20612369540162,-12.2636238092829
"CH",2006-07-01,-2.64780397114761,3.92570458474285,1.95895593171941,-9.99417126709764
"CH",2006-10-01,-5.13103039637554,3.3022746308895,0.198119656467903,-9.85103207112
"CH",2007-01-01,-5.62769925964734,3.99365594818375,-2.20153880779097,-11.1134768907287
"CH",2007-04-01,-4.80631750524042,2.7842744096275,-1.19949930318383,0.463259560212538
"CH",2007-07-01,-2.88984869539274,4.27423226251602,3.34438947599201,-0.574030643517702
"CH",2007-10-01,1.18751336135326,6.05384214632875,10.1480942481985,4.08205366254259
"CH",2008-01-01,1.43367732266273,1.70819891403765,7.16151103185743,-1.69732130042993
"CH",2008-04-01,-3.93884119760892,-2.98079595122962,4.047370530701,-0.483367655669945
"CH",2008-07-01,-3.70364998598086,-1.51220528911811,5.4854246572942,5.09383752303681
