"id","date","credit_gap","crisis"
"373","CH",2003-01-01,-12.2,0
"374","CH",2003-04-01,-8.9,0
"375","CH",2003-07-01,-8.2,0
"376","CH",2003-10-01,-6,0
"377","CH",2004-01-01,-5.2,0
"378","CH",2004-04-01,-5.7,0
"379","CH",2004-07-01,-5.8,0
"380","CH",2004-10-01,-7.2,0
"381","CH",2005-01-01,-4.5,0
"382","CH",2005-04-01,-3.7,0
"383","CH",2005-07-01,-3.6,0
"384","CH",2005-10-01,-6,0
"385","CH",2006-01-01,-6.3,0
"386","CH",2006-04-01,-8.2,0
"387","CH",2006-07-01,-5,0
"388","CH",2006-10-01,-7.7,0
"389","CH",2007-01-01,-5.7,0
"390","CH",2007-04-01,-4.5,0
"391","CH",2007-07-01,-3.9,0
"392","CH",2007-10-01,-0.2,0
"393","CH",2008-01-01,-2.1,1
"394","CH",2008-04-01,-2.4,1
"395","CH",2008-07-01,-1.6,1
"396","CH",2008-10-01,-2.8,1
"397","CH",2009-01-01,1.2,1
"398","CH",2009-04-01,5.6,1
"399","CH",2009-07-01,8.4,1
"400","CH",2009-10-01,10.2,1
"401","CH",2010-01-01,11.5,0
"402","CH",2010-04-01,7.3,0
"403","CH",2010-07-01,6.8,0
"404","CH",2010-10-01,7.5,0
"405","CH",2011-01-01,7.7,0
"406","CH",2011-04-01,9.8,0
"407","CH",2011-07-01,10.5,0
"408","CH",2011-10-01,10.9,0
"409","CH",2012-01-01,11.7,0
"410","CH",2012-04-01,11.9,0
"411","CH",2012-07-01,12.1,0
"412","CH",2012-10-01,14.1,0
"413","CH",2013-01-01,13.1,0
"414","CH",2013-04-01,11,0
"415","CH",2013-07-01,9.4,0
"416","CH",2013-10-01,10.3,0
"417","CH",2014-01-01,10,0
"418","CH",2014-04-01,10.9,0
"419","CH",2014-07-01,10.5,0
"420","CH",2014-10-01,9.8,0
"421","CH",2015-01-01,9.4,0
"422","CH",2015-04-01,7.2,0
"423","CH",2015-07-01,7.1,0
"424","CH",2015-10-01,9.7,0
"425","CH",2016-01-01,14.2,0
"426","CH",2016-04-01,11.9,0
"427","CH",2016-07-01,11.3,0
"428","CH",2016-10-01,11.5,0
"429","CH",2017-01-01,11.4,0
"430","CH",2017-04-01,13.6,0
"431","CH",2017-07-01,12.6,0
"432","CH",2017-10-01,14.9,0
"433","CL",2000-01-01,17.3,0
"434","CL",2000-04-01,17.8,0
"435","CL",2000-07-01,17.1,0
"436","CL",2000-10-01,18.2,0
"437","CL",2001-01-01,18.4,0
"438","CL",2001-04-01,18,0
"439","CL",2001-07-01,20.9,0
"440","CL",2001-10-01,14.1,0
"441","CL",2002-01-01,12,0
"442","CL",2002-04-01,12.6,0
"443","CL",2002-07-01,14,0
"444","CL",2002-10-01,8.9,0
"445","CL",2003-01-01,6.4,0
"446","CL",2003-04-01,1.8,0
"447","CL",2003-07-01,-1.8,0
"448","CL",2003-10-01,-4.8,0
"449","CL",2004-01-01,-4.5,0
"450","CL",2004-04-01,-5.6,0
"451","CL",2004-07-01,-8.1,0
"452","CL",2004-10-01,-12.6,0
"453","CL",2005-01-01,-12.1,0
"454","CL",2005-04-01,-12.1,0
"455","CL",2005-07-01,-14.1,0
"456","CL",2005-10-01,-14.8,0
"457","CL",2006-01-01,-15.9,0
"458","CL",2006-04-01,-16.1,0
"459","CL",2006-07-01,-16.2,0
"460","CL",2006-10-01,-15.8,0
"461","CL",2007-01-01,-15.1,0
"462","CL",2007-04-01,-15.4,0
"463","CL",2007-07-01,-12.5,0
"464","CL",2007-10-01,-10.5,0
"465","CL",2008-01-01,-11.6,0
"466","CL",2008-04-01,-5.2,0
"467","CL",2008-07-01,1.4,0
"468","CL",2008-10-01,7.7,0
"469","CL",2009-01-01,7.8,0
"470","CL",2009-04-01,4.2,0
"471","CL",2009-07-01,4.2,0
"472","CL",2009-10-01,1.9,0
"473","CL",2010-01-01,0.8,0
"474","CL",2010-04-01,0.1,0
"475","CL",2010-07-01,-5.3,0
"476","CL",2010-10-01,-7.1,0
"477","CL",2011-01-01,-7.5,0
"478","CL",2011-04-01,-7.1,0
"479","CL",2011-07-01,-3.3,0
"480","CL",2011-10-01,-1.1,0
"481","CL",2012-01-01,-1.6,0
"482","CL",2012-04-01,1,0
"483","CL",2012-07-01,0.6,0
"484","CL",2012-10-01,3.4,0
"485","CL",2013-01-01,3,0
"486","CL",2013-04-01,5,0
"487","CL",2013-07-01,5.3,0
"488","CL",2013-10-01,8.2,0
"489","CL",2014-01-01,9.2,0
"490","CL",2014-04-01,9,0
"491","CL",2014-07-01,12.2,0
"492","CL",2014-10-01,14.5,0
"493","CL",2015-01-01,14.6,0
"494","CL",2015-04-01,13.8,0
"495","CL",2015-07-01,21.3,0
"496","CL",2015-10-01,19.4,0
"497","CL",2016-01-01,14.9,0
"498","CL",2016-04-01,12.6,0
"499","CL",2016-07-01,11.2,0
"500","CL",2016-10-01,10.8,0
"501","CL",2017-01-01,9.1,0
"502","CL",2017-04-01,7.4,0
"503","CL",2017-07-01,4,0
"504","CL",2017-10-01,1.2,0
"505","DE",2000-01-01,9.1,0
"506","DE",2000-04-01,10.1,0
"507","DE",2000-07-01,8.9,0
"508","DE",2000-10-01,13.2,0
"509","DE",2001-01-01,12.8,1
"510","DE",2001-04-01,12.1,1
"511","DE",2001-07-01,11.6,1
"512","DE",2001-10-01,10,1
"513","DE",2002-01-01,8.8,1
"514","DE",2002-04-01,9.5,1
"515","DE",2002-07-01,8.9,1
"516","DE",2002-10-01,8.2,1
